Open,High,Low
0.056366797,5,1.927083373
0.061892968,6.084000111,1.708333373
0.064103483,5.184000015,1.625
0.065208668,4.619999886,1.635416627
0.063550828,4,1.375
0.062445595,3.325999975,1.3125
0.060787751,3.503999949,1.333333373
0.059129886,3.579999924,1.458333373
0.057472059,3.614000082,1.53125
0.058577278,3.727999926,1.479166627
0.060235137,4.03000021,1.479166627
0.061340362,4.300000191,1.5
0.060787743,4.260000229,1.479166627
0.06023513,4.449999809,1.395833373
0.061340369,4.369999886,1.375
0.061340369,4.179999828,1.510416627
0.061340356,4.25,1.65625
0.06023513,4.311999798,1.53125
0.060787725,4.300000191,1.53125
0.061892982,4.236000061,1.552083373
0.062998209,4.179999828,1.583333373
0.063550814,4.176000118,1.5625
0.064103432,4.087999821,1.494791627
0.064103426,4.193999767,1.5
0.066313899,4.389999866,1.5
0.066866529,4.43599987,1.5
0.064656064,4.309999943,1.479166627
0.064656055,4.032000065,1.479166627
0.063550843,3.996000051,1.489583373
0.063827143,3.930000067,1.505208373
0.07073483,3.776000023,1.479166627
0.074603129,3.579999924,1.479166627
0.075155757,3.690000057,1.510416627
0.072945304,3.75999999,1.510416627
0.071287459,3.880000114,1.59375
0.070182227,3.917999983,1.833333373
0.070182208,3.849999905,2.041666746
0.070182227,3.822000027,2.270833254
0.070182227,4.078000069,2.333333254
0.070182218,3.941999912,2.208333254
0.070734845,3.996000051,2.114583254
0.070182218,4.053999901,2.135416746
0.070734839,3.973999977,2.302083254
0.07128745,4.038000107,2.15625
0.070734836,3.957999945,2.15625
0.070734839,4.138000011,2.145833254
0.071287459,4.248000145,2.0625
0.070182208,4.260000229,2.177083254
0.069629608,4.199999809,2.21875
0.068524376,4.190000057,2.21875
0.068524376,4.210000038,2.21875
0.068524371,4.18599987,2.333333254
0.070734832,4.179999828,2.427083254
0.072945294,4.320000172,2.333333254
0.075155739,4.400000095,2.25
0.077366207,4.631999969,2.302083254
0.075155742,4.263999939,2.145833254
0.075155754,4.269999981,2.1875
0.074603135,4.309999943,2.125
0.075708367,4.190000057,2.104166746
0.075708384,4.027999878,2.25
0.072392687,4.038000107,2.197916746
0.072392687,4.162000179,2.166666746
0.072392673,4.297999859,2.119791746
0.069629595,4.406000137,1.9375
0.069629614,4.429999828,1.96875
0.069629613,4.150000095,2.052083254
0.070182208,4.234000206,2.072916746
0.069629614,4.256000042,2.072916746
0.069076998,4.251999855,2.09375
0.069353306,4.127999783,2.104166746
0.070182208,4.157999992,2.229166746
0.069629608,4.139999866,2.25
0.068524349,4.056000233,2.28125
0.066313897,4.170000076,2.322916746
0.065761279,4.205999851,2.333333254
0.067971744,4.179999828,2.3125
0.067971744,4.127999783,2.34375
0.068524381,4.081999779,2.458333254
0.069076967,4.138000011,2.5
0.06631391,4.190000057,3.026041746
0.064656034,4.18599987,3.125
0.061892975,4.196000099,3.041666746
0.060235106,4.374000072,3.15625
0.060235146,4.276000023,3.052083254
0.061064031,4.300000191,3.119791746
0.062445582,4.369999886,3.333333254
0.064103483,4.550000191,3.28125
0.065208665,4.375999928,3.375
0.065761283,4.5,3.947916746
0.065761279,5.065999985,4.395833492
0.067971735,4.993999958,4.291666508
0.067419143,5,4.052083492
0.068524381,5.138000011,4.052083492
0.069076992,5.993999958,3.958333254
0.067419129,5.820000172,3.802083254
0.065761287,6.099999905,3.9375
0.063550812,6.587999821,3.989583254
0.062998214,6.28000021,3.979166746
0.062445596,6.150000095,3.942708254
0.06244557,6.147999763,4.041666508
0.061892988,6.274000168,3.984375
0.061340362,6.690000057,3.739583254
0.060787755,7.136000156,3.666666746
0.06244559,7.193999767,3.927083254
0.063550864,7.199999809,3.833333254
0.065208665,7.190000057,3.770833254
0.065761295,7.065999985,3.604166746
0.067419162,7.28399992,3.520833254
0.067695438,6.860000134,3.666666746
0.066866517,6.449999809,3.854166746
0.066866504,6.289999962,4.375
0.066313885,6.480000019,4.1875
0.066313944,6.498000145,4.541666508
0.065208711,6.544000149,4.229166508
0.065208678,6.584000111,3.875
0.064656064,6.354000092,5
0.064656064,6.078000069,5.041666508
0.064656044,5.993999958,4.96875
0.06299822,6.18200016,4.947916508
0.06078777,6.308000088,4.822916508
0.060787753,6.438000202,4.875
0.064656063,6.538000107,4.635416508
0.067419131,6.572000027,4.385416508
0.066866512,6.495999813,4.208333492
0.067971749,5.71600008,3.916666746
0.06686651,5.349999905,3.666666746
0.064103447,5.602000237,3.770833254
0.06244559,5.579999924,3.78125
0.063550822,5.449999809,4.21875
0.063550864,5.400000095,4.34375
0.065208665,5.389999866,4.3125
0.065761283,5.380000114,4.510416508
0.06576133,5.599999905,4.489583492
0.065208653,5.71600008,4.229166508
0.066313914,5.736000061,4.041666508
0.065484971,5.742000103,4.239583492
0.064103432,5.480000019,4.114583492
0.064103447,5.394000053,4.135416508
0.062445596,5.315999985,4.177083492
0.06244557,5.127999783,4.1875
0.061892956,5.093999863,4.385416508
0.061892982,4.889999866,4.354166508
0.064103449,4.717999935,4.520833492
0.067419156,4.961999893,4.604166508
0.068800678,4.978000164,4.395833492
0.070734832,4.975999832,4.395833492
0.072945292,5.015999794,4.40625
0.076260989,4.975999832,4.40625
0.073497927,4.823999882,4.458333492
0.074050512,4.946000099,4.255208492
0.077366203,4.835999966,4.229166508
0.077366229,4.78000021,4.166666508
0.07957666,4.734000206,4.432291508
0.080681946,4.65199995,4.625
0.083445035,5.050000191,4.46875
0.083445035,4.835999966,4.489583492
0.083445041,4.728000164,4.53125
0.083445032,4.75,4.78125
0.085655435,4.828000069,4.84375
0.087589628,4.633999825,4.796875
0.085102849,4.993999958,4.708333492
0.086760726,5.09800005,4.666666508
0.086208096,4.697999954,4.692708492
0.087313276,4.599999905,4.53125
0.090628986,4.5,4.229166508
0.096155155,4.515999794,4.145833492
0.098365611,4.769999981,4.322916508
0.097812997,4.820000172,4.625
0.094497316,4.863999844,4.791666508
0.094497316,4.855999947,4.770833492
0.094497328,4.958000183,4.8125
0.093115761,4.998000145,4.875
0.093944702,5.079999924,5.020833492
0.094497336,4.992000103,4.9375
0.089523794,4.998000145,4.739583492
0.092839429,4.897999763,4.666666508
0.1005761,4.849999905,4.625
0.103339178,4.800000191,4.78125
0.111628442,4.592000008,4.885416508
0.112733641,4.650000095,4.9375
0.111628428,4.68599987,5.09375
0.109970589,4.638000011,5.052083492
0.108312719,4.610000134,4.875
0.108312704,4.572000027,4.875
0.107483792,4.453999996,4.770833492
0.108865332,4.475999832,4.833333492
0.108312707,4.599999905,5.28125
0.107207451,4.708000183,5.1875
0.106654854,4.800000191,5.145833492
0.107483788,4.897999763,5.072916508
0.10831273,5.742000103,5.052083492
0.104444393,5.636000156,5.083333492
0.102233942,5.400000095,5.114583492
0.102786538,5.400000095,5.208333492
0.103891776,5.40199995,5.354166508
0.104997005,5.587999821,5.260416508
0.107207482,5.519999981,5.4375
0.108312725,5.306000233,5.984375
0.109417932,5.041999817,6.25
